FechaFactura,Week,Year,NumSemana,Codigo,Kilos
2010-12-06,2010-49,2010,49,688706,1130.40
2010-12-09,2010-49,2010,49,688706,360.00
2010-12-09,2010-49,2010,49,688706,1440.00
2010-12-10,2010-49,2010,49,688706,720.00
2010-12-10,2010-49,2010,49,688706,1584.00
2010-12-13,2010-50,2010,50,688706,518.40
2010-12-13,2010-50,2010,50,688706,1483.20
2010-12-16,2010-50,2010,50,688706,957.60
2010-12-16,2010-50,2010,50,688706,1944.00
2010-12-17,2010-50,2010,50,688706,720.00
2010-12-20,2010-51,2010,51,688706,518.40
2010-12-20,2010-51,2010,51,688706,1130.40
2010-12-21,2010-51,2010,51,688706,957.60
2010-12-27,2010-52,2010,52,688706,770.40
2011-01-03,2011-01,2011,1,688706,360.00
2011-01-06,2011-01,2011,1,688706,720.00
2011-01-06,2011-01,2011,1,688706,763.20
2011-01-07,2011-01,2011,1,688706,288.00
2011-01-07,2011-01,2011,1,688706,360.00
2011-01-07,2011-01,2011,1,688706,360.00
2011-01-13,2011-02,2011,2,688706,720.00
2011-01-13,2011-02,2011,2,688706,763.20
2011-01-14,2011-02,2011,2,688706,360.00
2011-01-14,2011-02,2011,2,688706,813.60
2011-01-17,2011-03,2011,3,688706,187.20
2011-01-17,2011-03,2011,3,688706,360.00
2011-01-20,2011-03,2011,3,688706,720.00
2011-01-20,2011-03,2011,3,688706,763.20
2011-01-21,2011-03,2011,3,688706,360.00
2011-01-21,2011-03,2011,3,688706,813.60
2011-01-24,2011-04,2011,4,688706,187.20
2011-01-24,2011-04,2011,4,688706,360.00
2011-01-27,2011-04,2011,4,688706,720.00
2011-01-27,2011-04,2011,4,688706,763.20
2011-02-01,2011-05,2011,5,688706,360.00
2011-02-01,2011-05,2011,5,688706,720.00
2011-02-01,2011-05,2011,5,688706,806.40
2011-02-03,2011-05,2011,5,688706,720.00
2011-02-07,2011-06,2011,6,688706,360.00
2011-02-07,2011-06,2011,6,688706,806.40
2011-02-08,2011-06,2011,6,688706,720.00
2011-02-10,2011-06,2011,6,688706,576.00
2011-02-10,2011-06,2011,6,688706,720.00
2011-02-14,2011-07,2011,7,688706,360.00
2011-02-14,2011-07,2011,7,688706,806.40
2011-02-16,2011-07,2011,7,688706,576.00
2011-02-21,2011-08,2011,8,688706,806.40
2011-02-23,2011-08,2011,8,688706,576.00
2011-02-24,2011-08,2011,8,688706,720.00
2011-03-01,2011-09,2011,9,688706,360.00
2011-03-03,2011-09,2011,9,688706,720.00
2011-03-07,2011-10,2011,10,688706,288.00
2011-03-07,2011-10,2011,10,688706,525.60
2011-03-10,2011-10,2011,10,688706,720.00
2011-03-10,2011-10,2011,10,688706,835.20
2011-03-14,2011-11,2011,11,688706,288.00
2011-03-14,2011-11,2011,11,688706,892.80
2011-03-16,2011-11,2011,11,688706,835.20
2011-03-18,2011-11,2011,11,688706,288.00
2011-03-18,2011-11,2011,11,688706,835.20
2011-03-18,2011-11,2011,11,688706,892.80
2011-03-24,2011-12,2011,12,688706,720.00
2011-03-24,2011-12,2011,12,688706,835.20
2011-03-28,2011-13,2011,13,688706,288.00
2011-03-28,2011-13,2011,13,688706,518.40
2011-03-28,2011-13,2011,13,688706,720.00
2011-03-28,2011-13,2011,13,688706,892.80
2011-03-28,2011-13,2011,13,688706,993.60
2011-04-04,2011-14,2011,14,688706,360.00
2011-04-04,2011-14,2011,14,688706,1368.00
2011-04-07,2011-14,2011,14,688706,720.00
2011-04-08,2011-14,2011,14,688706,259.20
2011-04-08,2011-14,2011,14,688706,993.60
2011-04-08,2011-14,2011,14,688706,1368.00
2011-04-11,2011-15,2011,15,688706,360.00
2011-04-14,2011-15,2011,15,688706,432.00
2011-04-14,2011-15,2011,15,688706,720.00
2011-04-15,2011-15,2011,15,688706,259.20
2011-04-15,2011-15,2011,15,688706,993.60
2011-04-18,2011-16,2011,16,688706,360.00
2011-04-18,2011-16,2011,16,688706,720.00
2011-04-18,2011-16,2011,16,688706,770.40
2011-04-19,2011-16,2011,16,688706,1368.00
2011-04-25,2011-17,2011,17,688706,360.00
2011-04-25,2011-17,2011,17,688706,518.40
2011-04-26,2011-17,2011,17,688706,720.00
2011-05-02,2011-18,2011,18,688706,460.80
2011-05-02,2011-18,2011,18,688706,525.60
2011-05-02,2011-18,2011,18,688706,720.00
2011-05-04,2011-18,2011,18,688706,482.40
2011-05-05,2011-18,2011,18,688706,835.20
2011-05-05,2011-18,2011,18,688706,1008.00
2011-05-06,2011-18,2011,18,688706,986.40
2011-05-09,2011-19,2011,19,688706,460.80
2011-05-10,2011-19,2011,19,688706,525.60
2011-05-12,2011-19,2011,19,688706,720.00
2011-05-12,2011-19,2011,19,688706,835.20
2011-05-12,2011-19,2011,19,688706,1008.00
2011-05-13,2011-19,2011,19,688706,986.40
2011-05-16,2011-20,2011,20,688706,460.80
2011-05-17,2011-20,2011,20,688706,525.60
2011-05-19,2011-20,2011,20,688706,835.20
2011-05-19,2011-20,2011,20,688706,986.40
2011-05-19,2011-20,2011,20,688706,1008.00
2011-05-20,2011-20,2011,20,688706,525.60
2011-05-23,2011-21,2011,21,688706,460.80
2011-05-25,2011-21,2011,21,688706,835.20
2011-06-02,2011-22,2011,22,688706,518.40
2011-06-02,2011-22,2011,22,688706,576.00
2011-06-02,2011-22,2011,22,688706,648.00
2011-06-03,2011-22,2011,22,688706,417.60
2011-06-03,2011-22,2011,22,688706,907.20
2011-06-03,2011-22,2011,22,688706,1224.00
2011-06-07,2011-23,2011,23,688706,360.00
2011-06-09,2011-23,2011,23,688706,648.00
2011-06-10,2011-23,2011,23,688706,417.60
2011-06-10,2011-23,2011,23,688706,1224.00
2011-06-13,2011-24,2011,24,688706,360.00
2011-06-13,2011-24,2011,24,688706,907.20
2011-06-15,2011-24,2011,24,688706,7.20
2011-06-15,2011-24,2011,24,688706,7.20
2011-06-16,2011-24,2011,24,688706,648.00
2011-06-17,2011-24,2011,24,688706,417.60
2011-06-17,2011-24,2011,24,688706,1224.00
2011-06-20,2011-25,2011,25,688706,338.40
2011-06-20,2011-25,2011,25,688706,907.20
2011-06-21,2011-25,2011,25,688706,957.60
2011-06-23,2011-25,2011,25,688706,648.00
2011-06-24,2011-25,2011,25,688706,338.40
2011-06-24,2011-25,2011,25,688706,907.20
2011-06-24,2011-25,2011,25,688706,1224.00
2011-06-30,2011-26,2011,26,688706,864.00
2011-07-01,2011-26,2011,26,688706,1072.80
2011-07-05,2011-27,2011,27,688706,122.40
2011-07-05,2011-27,2011,27,688706,432.00
2011-07-05,2011-27,2011,27,688706,1152.00
2011-07-06,2011-27,2011,27,688706,367.20
2011-07-07,2011-27,2011,27,688706,14.40
2011-07-07,2011-27,2011,27,688706,864.00
2011-07-07,2011-27,2011,27,688706,1152.00
2011-07-08,2011-27,2011,27,688706,122.40
2011-07-08,2011-27,2011,27,688706,1224.00
2011-07-11,2011-28,2011,28,688706,14.40
2011-07-11,2011-28,2011,28,688706,50.40
2011-07-11,2011-28,2011,28,688706,432.00
2011-07-12,2011-28,2011,28,688706,14.40
2011-07-13,2011-28,2011,28,688706,864.00
2011-07-14,2011-28,2011,28,688706,864.00
2011-07-14,2011-28,2011,28,688706,1152.00
2011-07-15,2011-28,2011,28,688706,122.40
2011-07-15,2011-28,2011,28,688706,432.00
2011-07-15,2011-28,2011,28,688706,1101.60
2011-07-21,2011-29,2011,29,688706,432.00
2011-07-21,2011-29,2011,29,688706,864.00
2011-07-21,2011-29,2011,29,688706,1224.00
2011-07-22,2011-29,2011,29,688706,122.40
2011-07-22,2011-29,2011,29,688706,122.40
2011-07-22,2011-29,2011,29,688706,1152.00
2011-07-25,2011-30,2011,30,688706,432.00
2011-07-28,2011-30,2011,30,688706,432.00
2011-08-01,2011-31,2011,31,688706,453.60
2011-08-01,2011-31,2011,31,688706,756.00
2011-08-02,2011-31,2011,31,688706,216.00
2011-08-04,2011-31,2011,31,688706,756.00
2011-08-04,2011-31,2011,31,688706,770.40
2011-08-05,2011-31,2011,31,688706,216.00
2011-08-08,2011-32,2011,32,688706,453.60
2011-08-08,2011-32,2011,32,688706,756.00
2011-08-08,2011-32,2011,32,688706,885.60
2011-08-11,2011-32,2011,32,688706,756.00
2011-08-11,2011-32,2011,32,688706,770.40
2011-08-12,2011-32,2011,32,688706,216.00
2011-08-12,2011-32,2011,32,688706,604.80
2011-08-12,2011-32,2011,32,688706,885.60
2011-08-16,2011-33,2011,33,688706,453.60
2011-08-17,2011-33,2011,33,688706,756.00
2011-08-18,2011-33,2011,33,688706,770.40
2011-08-19,2011-33,2011,33,688706,216.00
2011-08-19,2011-33,2011,33,688706,302.40
2011-08-22,2011-34,2011,34,688706,453.60
2011-08-22,2011-34,2011,34,688706,885.60
2011-08-25,2011-34,2011,34,688706,770.40
2011-08-26,2011-34,2011,34,688706,885.60
2011-09-01,2011-35,2011,35,688706,864.00
2011-09-02,2011-35,2011,35,688706,432.00
2011-09-05,2011-36,2011,36,688706,453.60
2011-09-05,2011-36,2011,36,688706,864.00
2011-09-08,2011-36,2011,36,688706,756.00
2011-09-08,2011-36,2011,36,688706,864.00
2011-09-09,2011-36,2011,36,688706,432.00
2011-09-12,2011-37,2011,37,688706,453.60
2011-09-12,2011-37,2011,37,688706,864.00
2011-09-13,2011-37,2011,37,688706,756.00
2011-09-15,2011-37,2011,37,688706,432.00
2011-09-15,2011-37,2011,37,688706,756.00
2011-09-15,2011-37,2011,37,688706,864.00
2011-09-16,2011-37,2011,37,688706,756.00
2011-09-19,2011-38,2011,38,688706,453.60
2011-09-19,2011-38,2011,38,688706,864.00
2011-09-21,2011-38,2011,38,688706,360.00
2011-09-22,2011-38,2011,38,688706,432.00
2011-09-22,2011-38,2011,38,688706,432.00
2011-09-22,2011-38,2011,38,688706,756.00
2011-09-22,2011-38,2011,38,688706,864.00
2011-09-26,2011-39,2011,39,688706,122.40
2011-09-26,2011-39,2011,39,688706,453.60
2011-09-26,2011-39,2011,39,688706,756.00
2011-09-26,2011-39,2011,39,688706,864.00
2011-09-27,2011-39,2011,39,688706,864.00
2011-10-04,2011-40,2011,40,688706,576.00
2011-10-04,2011-40,2011,40,688706,1332.00
2011-10-06,2011-40,2011,40,688706,1044.00
2011-10-07,2011-40,2011,40,688706,252.00
2011-10-11,2011-41,2011,41,688706,576.00
2011-10-11,2011-41,2011,41,688706,1332.00
2011-10-13,2011-41,2011,41,688706,288.00
2011-10-13,2011-41,2011,41,688706,1044.00
2011-10-13,2011-41,2011,41,688706,1296.00
2011-10-14,2011-41,2011,41,688706,252.00
2011-10-18,2011-42,2011,42,688706,576.00
2011-10-18,2011-42,2011,42,688706,1332.00
2011-10-20,2011-42,2011,42,688706,288.00
2011-10-20,2011-42,2011,42,688706,1044.00
2011-10-20,2011-42,2011,42,688706,1296.00
2011-10-21,2011-42,2011,42,688706,252.00
2011-10-25,2011-43,2011,43,688706,1332.00
2011-10-27,2011-43,2011,43,688706,288.00
2011-10-27,2011-43,2011,43,688706,1044.00
2011-10-27,2011-43,2011,43,688706,1296.00
2011-10-28,2011-43,2011,43,688706,273.60
2011-10-31,2011-44,2011,44,688706,302.40
2011-11-02,2011-44,2011,44,688706,957.60
2011-11-02,2011-44,2011,44,688706,1281.60
2011-11-03,2011-44,2011,44,688706,1080.00
2011-11-04,2011-44,2011,44,688706,273.60
2011-11-04,2011-44,2011,44,688706,302.40
2011-11-10,2011-45,2011,45,688706,957.60
2011-11-10,2011-45,2011,45,688706,1080.00
2011-11-10,2011-45,2011,45,688706,1281.60
2011-11-11,2011-45,2011,45,688706,273.60
2011-11-11,2011-45,2011,45,688706,302.40
2011-11-11,2011-45,2011,45,688706,396.00
2011-11-16,2011-46,2011,46,688706,957.60
2011-11-16,2011-46,2011,46,688706,1080.00
2011-11-16,2011-46,2011,46,688706,1281.60
2011-11-18,2011-46,2011,46,688706,273.60
2011-11-21,2011-47,2011,47,688706,180.00
2011-11-21,2011-47,2011,47,688706,302.40
2011-11-23,2011-47,2011,47,688706,1281.60
2011-11-24,2011-47,2011,47,688706,957.60
2011-11-24,2011-47,2011,47,688706,1800.00
2011-11-24,2011-47,2011,47,688706,1800.00
2011-11-25,2011-47,2011,47,688706,273.60
2011-11-25,2011-47,2011,47,688706,360.00
2011-11-28,2011-48,2011,48,688706,216.00
2011-11-28,2011-48,2011,48,688706,302.40
2011-12-01,2011-48,2011,48,688706,957.60
2011-12-01,2011-48,2011,48,688706,1152.00
2011-12-01,2011-48,2011,48,688706,1800.00
2011-12-02,2011-48,2011,48,688706,482.40
2011-12-05,2011-49,2011,49,688706,864.00
2011-12-06,2011-49,2011,49,688706,1562.40
2011-12-07,2011-49,2011,49,688706,957.60
2011-12-08,2011-49,2011,49,688706,1152.00
2011-12-09,2011-49,2011,49,688706,482.40
2011-12-09,2011-49,2011,49,688706,1152.00
2011-12-12,2011-50,2011,50,688706,576.00
2011-12-14,2011-50,2011,50,688706,770.40
2011-12-14,2011-50,2011,50,688706,957.60
2011-12-15,2011-50,2011,50,688706,482.40
2011-12-15,2011-50,2011,50,688706,1152.00
2011-12-16,2011-50,2011,50,688706,1152.00
2011-12-19,2011-51,2011,51,688706,576.00
2011-12-19,2011-51,2011,51,688706,957.60
2011-12-21,2011-51,2011,51,688706,770.40
2011-12-22,2011-51,2011,51,688706,482.40
2011-12-26,2011-52,2011,52,688706,288.00
2011-12-28,2011-52,2011,52,688706,770.40
2012-01-02,2012-01,2012,1,688706,108.00
2012-01-02,2012-01,2012,1,688706,360.00
2012-01-04,2012-01,2012,1,688706,842.40
2012-01-04,2012-01,2012,1,688706,864.00
2012-01-05,2012-01,2012,1,688706,360.00
2012-01-06,2012-01,2012,1,688706,108.00
2012-01-11,2012-02,2012,2,688706,864.00
2012-01-11,2012-02,2012,2,688706,1080.00
2012-01-12,2012-02,2012,2,688706,1152.00
2012-01-13,2012-02,2012,2,688706,360.00
2012-01-16,2012-03,2012,3,688706,108.00
2012-01-16,2012-03,2012,3,688706,720.00
2012-01-18,2012-03,2012,3,688706,864.00
2012-01-20,2012-03,2012,3,688706,108.00
2012-01-20,2012-03,2012,3,688706,360.00
2012-01-23,2012-04,2012,4,688706,360.00
2012-01-25,2012-04,2012,4,688706,122.40
2012-01-25,2012-04,2012,4,688706,864.00
2012-01-26,2012-04,2012,4,688706,1152.00
2012-02-01,2012-05,2012,5,688706,237.60
2012-02-01,2012-05,2012,5,688706,864.00
2012-02-01,2012-05,2012,5,688706,864.00
2012-02-06,2012-06,2012,6,688706,360.00
2012-02-06,2012-06,2012,6,688706,432.00
2012-02-08,2012-06,2012,6,688706,122.40
2012-02-08,2012-06,2012,6,688706,720.00
2012-02-08,2012-06,2012,6,688706,864.00
2012-02-08,2012-06,2012,6,688706,864.00
2012-02-09,2012-06,2012,6,688706,597.60
2012-02-10,2012-06,2012,6,688706,432.00
2012-02-13,2012-07,2012,7,688706,237.60
2012-02-14,2012-07,2012,7,688706,432.00
2012-02-15,2012-07,2012,7,688706,864.00
2012-02-16,2012-07,2012,7,688706,1684.80
2012-02-20,2012-08,2012,8,688706,237.60
2012-02-22,2012-08,2012,8,688706,864.00
2012-02-23,2012-08,2012,8,688706,842.40
2012-02-24,2012-08,2012,8,688706,432.00
2012-02-27,2012-09,2012,9,688706,237.60
2012-03-01,2012-09,2012,9,688706,864.00
2012-03-01,2012-09,2012,9,688706,1065.60
2012-03-02,2012-09,2012,9,688706,324.00
2012-03-02,2012-09,2012,9,688706,360.00
2012-03-02,2012-09,2012,9,688706,1202.40
2012-03-07,2012-10,2012,10,688706,864.00
2012-03-07,2012-10,2012,10,688706,1065.60
2012-03-09,2012-10,2012,10,688706,360.00
2012-03-09,2012-10,2012,10,688706,1202.40
2012-03-14,2012-11,2012,11,688706,1065.60
2012-03-16,2012-11,2012,11,688706,324.00
2012-03-16,2012-11,2012,11,688706,360.00
2012-03-16,2012-11,2012,11,688706,1202.40
2012-03-21,2012-12,2012,12,688706,864.00
2012-03-21,2012-12,2012,12,688706,1065.60
2012-03-22,2012-12,2012,12,688706,360.00
2012-03-23,2012-12,2012,12,688706,360.00
2012-03-23,2012-12,2012,12,688706,1080.00
2012-03-23,2012-12,2012,12,688706,1202.40
2012-03-28,2012-13,2012,13,688706,1065.60
2012-04-02,2012-14,2012,14,688706,432.00
2012-04-02,2012-14,2012,14,688706,892.80
2012-04-03,2012-14,2012,14,688706,626.40
2012-04-04,2012-14,2012,14,688706,360.00
2012-04-04,2012-14,2012,14,688706,360.00
2012-04-04,2012-14,2012,14,688706,1440.00
2012-04-11,2012-15,2012,15,688706,482.40
2012-04-11,2012-15,2012,15,688706,626.40
2012-04-11,2012-15,2012,15,688706,892.80
2012-04-13,2012-15,2012,15,688706,180.00
2012-04-13,2012-15,2012,15,688706,360.00
2012-04-16,2012-16,2012,16,688706,28.80
2012-04-16,2012-16,2012,16,688706,432.00
2012-04-17,2012-16,2012,16,688706,28.80
2012-04-18,2012-16,2012,16,688706,482.40
2012-04-18,2012-16,2012,16,688706,626.40
2012-04-18,2012-16,2012,16,688706,892.80
2012-04-19,2012-16,2012,16,688706,180.00
